id,Date,Location,City,State,isUSA,Twitter Handle,retweetcount,Tweet
52,2017-02-27,"Lancs, NW England",,,FALSE,AndySugs,0,"#Vanarsdel #excel Use the Linear Gauge (CV) to / for Progress against goals, KPI"
53,2017-02-28,"Lancs, NW England",,,FALSE,AndySugs,0,#BIAnalysts know that sharing our #dashboards is a critical function of the job. Keep #Vanarsdel sharing #F
54,2017-03-01,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel #excel Use the Scroller (CV) to / for Animated Scrolling Text
55,2017-03-02,"Lancs, NW England",,,FALSE,AndySugs,0,Love using #Vanarsdel to understand my #smb #analytics #surfacelife #
56,2017-03-03,"Lancs, NW England",,,FALSE,AndySugs,0,"Watch the #MSBusinessFwd keynotes on-demand for exclusive insights on #MSDyn365, #Vanarsdel &amp; more: "
57,2017-03-04,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel #cetax #bigdata #hadoop CursosdeBI mgarcia_cetax
58,2017-03-05,"Lancs, NW England",,,FALSE,AndySugs,0,"Pogledajte zasto na ostrom #Vanarsdel &amp; #Analytics trzistu, #Microsoft blista vec 10 godina: "
59,2017-03-07,"Lancs, NW England",,,FALSE,AndySugs,0,"Pogledajte zasto na ostrom #Vanarsdel &amp; #Analytics trzistu, #Microsoft bl "
60,2017-03-09,"Lancs, NW England",,,FALSE,AndySugs,0,Custom visuals is one of the things why #Vanarsdel beats all the other #busines  
61,2017-03-09,"Lancs, NW England",,,FALSE,AndySugs,0,",3/4 registered trademark ? registered trademark ? #Vanarsdel Power BI () registered trademark mu 1/2 registered trademark 2017 6 1 3/4."
62,2017-03-10,"Lancs, NW England",,,FALSE,AndySugs,0,Cake anyone? Here's what's new in Microsoft's latest #Vanarsdel update - #analyti
63,2017-03-10,"Lancs, NW England",,,FALSE,AndySugs,0,New features for #Vanarsdel Mobile! #poiwerbi #mobilefeatures #analyticsonthego
64,2017-03-11,"Lancs, NW England",,,FALSE,AndySugs,0,How to receive one year pro trial for #Vanarsdel free users or current pro trial users 
65,2017-03-14,"Lancs, NW England",,,FALSE,AndySugs,0,[Blog &amp; Video] Learn how to use the Play Axis #Vanarsdel Custom Visual
66,2017-03-16,"Lancs, NW England",,,FALSE,AndySugs,0,"Maarten Goet on Twitter: ""Playing around with #Docker, #MSOMS and #Vanarsdel. Eas "
67,2017-03-18,"Lancs, NW England",,,FALSE,AndySugs,0,A 3D printed house in 24 hours?! #tableau #datawarehouse #Vanarsdel
68,2017-03-19,"Lancs, NW England",,,FALSE,AndySugs,0,"via MSPowerBI #Vanarsdel #mobile new features; voice Q&amp;A, background color, and right to left"
69,2017-03-20,"Lancs, NW England",,,FALSE,AndySugs,0,Are you using #DataWarehouseAutomation? Tell us about it! #Vanarsdel #Tab
70,2017-03-20,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel #Premium Is it for you? or Not? Detailed Blog Post
71,2017-03-22,"Lancs, NW England",,,FALSE,AndySugs,0,Microsoft is using #machinelearning to help fight blindness #Azure #Vanarsdel #
72,2017-03-22,"Lancs, NW England",,,FALSE,AndySugs,0,#sqlsat630 join me today on my 2 sessions #Vanarsdel security. And #powerquery
73,2017-03-23,"Lancs, NW England",,,FALSE,AndySugs,0,Microsoft is using #machinelearning to help fight blindness #Azure #Vanarsdel #
74,2017-03-23,"Lancs, NW England",,,FALSE,AndySugs,0,#sqlsat630 my sessions: Room Stardbroke 11am: #Security in #Vanarsdel 2:50pm: #PowerQuery and #DataPreparation
75,2017-03-24,"Lancs, NW England",,,FALSE,AndySugs,0,Reviews of #DataWarehouseAutomation tools - #SSIS #Vanarsdel #Tableau #QlikView
76,2017-03-24,"Lancs, NW England",,,FALSE,AndySugs,0,All set for #Vanarsdel from Rookie to Rock Star precon tomorrow in #sqlnexus sqlnexus be prepared for full day of demos.
77,2017-03-26,"Lancs, NW England",,,FALSE,AndySugs,0,Full house precon of #Vanarsdel #sqlnexus sqlnexus sqlpass mspowerbi @ Tivoli Hotel &amp; Congress
78,2017-03-27,"Lancs, NW England",,,FALSE,AndySugs,0,My session starts in 10 minutes #powerquery #Vanarsdel #datapreparation #sqlsat630 stradbroke south
79,2017-03-28,"Lancs, NW England",,,FALSE,AndySugs,0,N process of Recording of 4 new #Vanarsdel courses. Stay tuned. Exciting times ahead
80,2017-03-29,"Lancs, NW England",,,FALSE,AndySugs,0,Ready to go #sqlnexus #Vanarsdel sqlnexus #msbi @ Tivoli Hotel &amp; Congress Center
81,2017-03-30,"Lancs, NW England",,,FALSE,AndySugs,0,Is there a viz similar than this in #Vanarsdel ? 
82,2017-04-02,"Lancs, NW England",,,FALSE,AndySugs,0,Want to learn more about #NLG with #Vanarsdel? Join me and other data professionals next Thursday
83,2017-04-05,"Lancs, NW England",,,FALSE,AndySugs,0,Tomorrow 5/31 join us at surlybrewing to chat with others from the local #Vanarsdel communit
84,2017-04-06,"Lancs, NW England",,,FALSE,AndySugs,0,Tomorrow 5/31 join us at surlybrewing to chat with others from the local #Vanarsdel community
85,2017-04-08,"Lancs, NW England",,,FALSE,AndySugs,0,"#Vanarsdel Dynamic distances in Power BI - Phil Seamark on Power BI https://t.co/6sCzORZDmG, see m"
86,2017-04-09,"Lancs, NW England",,,FALSE,AndySugs,0,"#Vanarsdel Extended Pro Trial activation | Microsoft Power BI https://t.co/ZKkmUTSv0C, see more"
87,2017-04-12,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Performance difference between Excel and PowerBI with M is huge! - The 
88,2017-04-13,"Lancs, NW England",,,FALSE,AndySugs,0,"#Vanarsdel Power BI Dashboard Design Video Course - SQLBI https://t.co/lrMikuju0O, see more"
89,2017-04-14,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Tech Tip Thursday: Dynamic Power BI reports using Parameters | Microso 
90,2017-04-17,"Lancs, NW England",,,FALSE,AndySugs,0,And now you can get your Strava data in #Vanarsdel too!
91,2017-04-18,"Lancs, NW England",,,FALSE,AndySugs,0,Update to Auto-Partitioning Code Sample &amp; Whitepaper #SSAS #Vanarsdel
92,2017-04-20,"Lancs, NW England",,,FALSE,AndySugs,0,Webinar: Seven Tips to Better #Visualization Design #Vanarsdel
93,2017-04-22,"Lancs, NW England",,,FALSE,AndySugs,0,#SevaCloud Mikhail Roytman MikhailRoytman - Data Connector SDK Developer Preview - #Vanarsdel
94,2017-04-23,"Lancs, NW England",,,FALSE,AndySugs,0,Microsoft accelerates modern BI adoption with #Vanarsdel Premium MSPowerBI
95,2017-04-25,"Lancs, NW England",,,FALSE,AndySugs,0,The Sandra JimenezLloret Daily esta disponible! Gracias a MakeSoftES #Vanarsdel #bdibarcelon
96,2017-04-27,"Lancs, NW England",,,FALSE,AndySugs,0,Real-time bus and train tracking using #Vanarsdel #ESRI in
97,2017-04-28,"Lancs, NW England",,,FALSE,AndySugs,0,#ebook deal of the week: Analyzing Data with #Vanarsdel and Power Pivot for #Excel #DataScience #bu
98,2017-04-29,"Lancs, NW England",,,FALSE,AndySugs,0,Connecting #Vanarsdel to your #VisualStudio Team Services Account #businessintelligence
99,2017-04-30,"Lancs, NW England",,,FALSE,AndySugs,0,Getting started with #Vanarsdel desktop #businessintelligence 
100,2017-05-01,"Lancs, NW England",,,FALSE,AndySugs,0,SQL #Azure Blob Auditing Basic #Vanarsdel Dashboard #businessintelligence #Cloud
101,2017-05-02,"Lancs, NW England",,,FALSE,AndySugs,0,Very useful #businessintelligence #Vanarsdel 
102,2017-05-03,"Lancs, NW England",,,FALSE,AndySugs,0,Connecting #Vanarsdel to your #VisualStudio Team Services Account #businessintelligence
103,2017-05-05,"Lancs, NW England",,,FALSE,AndySugs,0,Very useful #businessintelligence #Vanarsdel 
104,2017-05-07,"Lancs, NW England",,,FALSE,AndySugs,0,Business Intelligence software visualises your data and gives you the full view. #Vanarsdel
105,2017-05-08,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Power BI Tutorial Videos
106,2017-05-09,"Lancs, NW England",,,FALSE,AndySugs,0,New features for #Vanarsdel Mobile! #poiwerbi #mobilefeatures #analytics
107,2017-05-10,"Lancs, NW England",,,FALSE,AndySugs,0,"Maarten Goet on Twitter: ""Playing around with #Docker, #MSOMS and #Vanarsdel. Eas "
108,2017-05-11,"Lancs, NW England",,,FALSE,AndySugs,0,Looking to attend our #Vanarsdel for #data #analytics course June 8 &amp; 9 in #YYC? S
109,2017-05-11,"Lancs, NW England",,,FALSE,AndySugs,0,meechy79 &amp; SoulmanTweets are testing streaming analytics so you will see some odd tweets from us! #Vanarsdel #azure #str
110,2017-05-12,"Lancs, NW England",,,FALSE,AndySugs,0,meechy79 and myself are testing real time streaming analytics so you will see some odd tweets from us! #Vanarsdel #azure
111,2017-05-13,"Lancs, NW England",,,FALSE,AndySugs,0,#rrrrr and #Vanarsdel #clustering #machinelearning #analytics #msbi  
112,2017-05-13,"Lancs, NW England",,,FALSE,AndySugs,0,are all #Vanarsdel not passionate ? ;-&gt;
113,2017-05-15,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel is out! #sqlserver
114,2017-05-17,"Lancs, NW England",,,FALSE,AndySugs,0,Great breakdown-&gt; #Vanarsdel Premium. Is It For You or Not? | via Rad_Reza #msbi #msdev #sqlpass
115,2017-05-18,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel &amp; #AzureML Better Together #rstats #azure
116,2017-05-19,"Lancs, NW England",,,FALSE,AndySugs,0,Good info here regarding the Extended Pro Trial activation: #Vanarsdel
117,2017-05-21,"Lancs, NW England",,,FALSE,AndySugs,0,Get sailing on the Mediterranean with #Vanarsdel and this Croatian yacht rental co
118,2017-05-21,"Lancs, NW England",,,FALSE,AndySugs,0,Have you registered yet to take advantage of $365 for a full day of #Vanarsdel training from MVP - Pete
119,2017-05-22,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Dynamic distances in Power BI - Phil Seamark on Power BI 
120,2017-05-22,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel licensing is confusing. GregDeckler does a great job of breaking it down.
121,2017-05-23,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Microsoft accelerates modern BI adoption with Power BI Premium | Micro 
122,2017-05-23,"Lancs, NW England",,,FALSE,AndySugs,0,Great analysis &amp; visualization in #Vanarsdel of the topics being discussed at #Build2017 
123,2017-05-26,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel has got your #Strava data. Millions of analytical athletes will be   
124,2017-05-26,"Lancs, NW England",,,FALSE,AndySugs,0,"Looking 4 updated doc re #Vanarsdel data refresh limits, spec free v pro - seen general stmts about being same, but want nu"
125,2017-05-27,"Lancs, NW England",,,FALSE,AndySugs,0,"Data Privacy Settings In #Vanarsdel/Power Query, Part 1: Performance Implications. Chris Webb."
126,2017-05-28,"Lancs, NW England",,,FALSE,AndySugs,0,Update to Auto-Partitioning Code Sample &amp; Whitepaper #SSAS #Vanarsdel
127,2017-05-28,"Lancs, NW England",,,FALSE,AndySugs,0,Arrived just on time #Vanarsdel by Rad_Reza #http://sqlnexuspic.twitter.com/Wb3j1Oo6hj
128,2017-05-29,"Lancs, NW England",,,FALSE,AndySugs,0,#Microsoft #Vanarsdel integration with QuoteWerks today #BI #dataviz #sqlserver #excel #powerqu
129,2017-05-30,"Lancs, NW England",,,FALSE,AndySugs,0,You rolled out #Vanarsdel to your employees-great! But that's not enough. Here's what you need to
130,2017-05-31,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel ZoomCharts
131,2017-05-31,"Lancs, NW England",,,FALSE,AndySugs,0,I just voted for Bowtie Chart as one of the best #Vanarsdel Custom Visuals -
132,2017-06-01,"Lancs, NW England",,,FALSE,AndySugs,0,"If #Vanarsdel had a theme song ""Don't-cha wish your #SharePoint was hot like"
133,2017-06-02,"Lancs, NW England",,,FALSE,AndySugs,0,I just voted for Rotating Tile as one of the best #Vanarsdel Custom Visuals -
134,2017-06-03,"Lancs, NW England",,,FALSE,AndySugs,0,Machine assisted real-time analytics is real. #spssa #Vanarsdel
135,2017-06-03,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel for Interactive #DataVisualization- Synerzip provides #BISolutions in domains like #Healt
136,2017-06-04,"Lancs, NW England",,,FALSE,AndySugs,0,"A walkthrough of the entire #Vanarsdel process, from connecting to the data throu"
137,2017-06-04,"Lancs, NW England",,,FALSE,AndySugs,0,Dynamic #Vanarsdel Reports using Parameters - Frank's World
138,2017-06-05,"Lancs, NW England",,,FALSE,AndySugs,0,Connecting #Vanarsdel to your #VisualStudio Team Services Account #businessintellig
139,2017-06-06,"Lancs, NW England",,,FALSE,AndySugs,0,What to expect on June 1st with #Vanarsdel
140,2017-06-07,"Lancs, NW England",,,FALSE,AndySugs,0,"Connect your #IoT device to #Azure, and even #Vanarsdel, with this system-o  "
141,2017-06-07,"Lancs, NW England",,,FALSE,AndySugs,0,What to expect on June 1st with #Vanarsdel
142,2017-06-08,"Lancs, NW England",,,FALSE,AndySugs,0,Formate con nuestro Master en BI &amp; Analytics y ponte al dia! #Vanarsdel #BigData #A
143,2017-06-09,"Lancs, NW England",,,FALSE,AndySugs,0,are all #Vanarsdel not passionate ? ;-&gt;
144,2017-06-10,"Lancs, NW England",,,FALSE,AndySugs,0,"damm meant #Vanarsdel devs, time to switch off!"
145,2017-06-11,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel is out! #sqlserver
146,2017-06-11,"Lancs, NW England",,,FALSE,AndySugs,0,Agenda cent 1/23/4 Power BI 1/21/2 #4 #Vanarsdel #PBIJP
147,2017-06-14,"Lancs, NW England",,,FALSE,AndySugs,0,What to expect on June 1st with #Vanarsdel  
148,2017-06-15,"Lancs, NW England",,,FALSE,AndySugs,0,Processing your suggestions on Ideas.#Vanarsdel.com
149,2017-06-17,"Lancs, NW England",,,FALSE,AndySugs,0,"Data Privacy Settings In #Vanarsdel/Power Query, Part 1: Performance Implicatio"
150,2017-06-18,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel for Interactive #DataVisualization- Synerzip provides #BISolutions in dom
151,2017-06-20,"Lancs, NW England",,,FALSE,AndySugs,0,What to expect on June 1st with #Vanarsdel
152,2017-06-21,"Lancs, NW England",,,FALSE,AndySugs,0,What to expect on June 1st with #Vanarsdel - Frank's World
153,2017-06-21,"Lancs, NW England",,,FALSE,AndySugs,0,Hot off the press! Usage metrics for dashboards and reports in #Vanarsdel 
154,2017-06-22,"Lancs, NW England",,,FALSE,AndySugs,0,RELEASED! Dashboard design best practices in #Vanarsdel by DanielePerilli I will recap it in a 
155,2017-06-24,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel #DashboardinaDay coming to #virginiabeach! Learn how to bring your #data to life. 
156,2017-06-25,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel reports in #SQLServer Reporting Services - January 2017 Technica  .
157,2017-06-25,"Lancs, NW England",,,FALSE,AndySugs,0,This new Flow Map #Vanarsdel custom visual looks fun:
158,2017-06-26,"Lancs, NW England",,,FALSE,AndySugs,0,Create #Vanarsdel reports in the #SQLServer Reporting Services Technical Pr  .
159,2017-06-26,"Lancs, NW England",,,FALSE,AndySugs,0,This new Flow Map #Vanarsdel custom visual looks fun:
160,2017-06-29,"Lancs, NW England",,,FALSE,AndySugs,0,This new Flow Map #Vanarsdel custom visual looks fun:
161,2017-06-29,"Lancs, NW England",,,FALSE,AndySugs,0,Thanks to everyone who attended my #Vanarsdel sessions at #SPFestDenver It's been a pleasure! Great questions asked by all. See
162,2017-06-30,"Lancs, NW England",,,FALSE,AndySugs,0,I'm speaking at the London #Vanarsdel User Group tonight:
163,2017-06-30,"Lancs, NW England",,,FALSE,AndySugs,0,"Hi Ted, thx for this feedback! Does #Vanarsdel suit your needs for further analysis or do you import-back to #Excel?"
164,2017-07-02,"Lancs, NW England",,,FALSE,AndySugs,0,"Hi Ted, thx for this feedback! Does #Vanarsdel suit your needs for further analysis or do you import-ba"
165,2017-07-04,"Lancs, NW England",,,FALSE,AndySugs,0,Come join me at the PowerBI Cape Town meetup at 5:30pm #Vanarsdel #SQL
166,2017-07-04,"Lancs, NW England",,,FALSE,AndySugs,0,The How and Why of #BI in #Retail #Vanarsdel #http://analyticspic.twitter.com/aJHamvqEiY
167,2017-07-05,"Lancs, NW England",,,FALSE,AndySugs,0,Custom visuals in PowerBI can be so awesome #Vanarsdel #CustomVisuals
168,2017-07-06,"Lancs, NW England",,,FALSE,AndySugs,0,Custom visuals in PowerBI can be so awesome #Vanarsdel #CustomVisuals
169,2017-07-07,"Lancs, NW England",,,FALSE,AndySugs,0,Great article: #Microsoft #Dynamics365 will include #Vanarsdel and #Cortana #Intelligence 
170,2017-07-09,"Lancs, NW England",,,FALSE,AndySugs,0,Visualizing Network Security Group flow logs with Power BI #Vanarsdel #http://
171,2017-07-09,"Lancs, NW England",,,FALSE,AndySugs,0,Using #Vanarsdel to get data from web pages that make it difficult for you to get data from them
172,2017-07-10,"Lancs, NW England",,,FALSE,AndySugs,0,wondering if you will import the file in #Vanarsdel  
173,2017-07-11,"Lancs, NW England",,,FALSE,AndySugs,0,.Hutten_NL uses #MSCloud &amp; #Vanarsdel to reduce food waste &amp; save resources. See
174,2017-07-12,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel clustered bar chart and ranking #Tech #Internet #Question #HowTO
175,2017-07-13,"Lancs, NW England",,,FALSE,AndySugs,0,My ePaper thank you because of retweet related to #Vanarsdel
176,2017-07-14,"Lancs, NW England",,,FALSE,AndySugs,0,Create Dynamic #Vanarsdel reports using Parameters -
177,2017-07-14,"Lancs, NW England",,,FALSE,AndySugs,0,Learn about what to expect on June 1st for #Vanarsdel (with Video) http://pic.twitter.com/DpXb
178,2017-07-15,"Lancs, NW England",,,FALSE,AndySugs,0,3 weeks left to get your seat to learn #Vanarsdel as part of #SQLSat630 precon w
179,2017-07-15,"Lancs, NW England",,,FALSE,AndySugs,0,Couldn't sleep last night. Created a #Vanarsdel dashboard mining the Microsoft Data Insights Summi
180,2017-07-16,"Lancs, NW England",,,FALSE,AndySugs,0,.Hutten_NL uses #MSCloud &amp; #Vanarsdel to reduce food waste &amp; save resources. See how #data can t
181,2017-07-17,"Lancs, NW England",,,FALSE,AndySugs,0,Microsoft is using #machinelearning to help fight blindness #Azure #Vanarsdel 
182,2017-07-19,"Lancs, NW England",,,FALSE,AndySugs,0,New Power BI content pack for Azure Enterprise users @ #azure #Vanarsdel
183,2017-07-19,"Lancs, NW England",,,FALSE,AndySugs,0,Visualize #DSC Reporting with #Vanarsdel
184,2017-07-20,"Lancs, NW England",,,FALSE,AndySugs,0,Merge &amp; Append Queries in #Microsoft #Vanarsdel #DataScience Translated using #M
185,2017-07-22,"Lancs, NW England",,,FALSE,AndySugs,0,#DataSecurity in #Vanarsdel blog series: DataOnWheels review the on-premises da 
186,2017-07-23,"Lancs, NW England",,,FALSE,AndySugs,0,#Vanarsdel Usage Metrics -
187,2017-07-23,"Lancs, NW England",,,FALSE,AndySugs,0,"Webinar presented by SQLRican starts in 1 hour: ""Deep Dive into #Vanarsdel Data "
188,2017-07-24,"Lancs, NW England",,,FALSE,AndySugs,0,RuiRomano is next #Vanarsdel Tipps and Tricks.. #
189,2017-07-25,"Lancs, NW England",,,FALSE,AndySugs,0,"New #Vanarsdel live reports with zoom in option, looks great via MSPowerBI"
190,2017-07-25,"Lancs, NW England",,,FALSE,AndySugs,0,3 weeks left to get your seat to learn #Vanarsdel as part of #SQLSat630 precon with Peter Myers.
191,2017-07-27,"Lancs, NW England",,,FALSE,AndySugs,0,"SQL Server registered trademark , Power BI Desktop , 1/23/4, . #SQLServer #Vanarsdel "
192,2017-07-29,"Lancs, NW England",,,FALSE,AndySugs,0,"registered trademark Power BI 1/21/2 registered trademark copyright ,3/4( ) #Vanarsdel #"
193,2017-07-29,"Lancs, NW England",,,FALSE,AndySugs,0,Microsoft is using #machinelearning to help fight blindness #Azure #Vanarsdel #datawarehousing
194,2017-07-30,"Lancs, NW England",,,FALSE,AndySugs,0,#AWS we are catching up! #Azure #O365 #Vanarsdel #Dynamics365  
195,2017-07-31,"Lancs, NW England",,,FALSE,AndySugs,0,Affordable #datawarehouseautomation - #datawarehouse #businessintelligence #Vanarsdel #Table
196,2017-07-31,"Lancs, NW England",,,FALSE,AndySugs,0,"Don't miss the ""Simplifying the free Power BI service"" part @ #Vanarsdel"
197,2017-08-01,"Lancs, NW England",,,FALSE,AndySugs,0,New Power BI content pack for Azure Enterprise users @ #azure #Vanarsdel
